id,human_intent,pred_intent,human_escalate,pred_escalate,confidence,intent_correct,escalation_agreement,safe_to_auto,reply_verdict,containment,cosine,reply,escalation_reason
g044,content_missing,content_missing,False,False,0.6,True,True,True,poor,0.1,0.03349406491933802,Thanks for the info. Can you DM us your account's email address or username? We'll take a look backstage,content_missing is informational/acknowledge-only
g045,feature_and_feedback,other,False,True,0.3,False,False,False,,,,,other requires account verification or human review
g046,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.09523809523809523,0.04309638567240587,"Thanks! Is this happening when you're listening offline, through WiFi, or 3G/4G? Also, when did this started happening? We'd like to make sure that we have everything covered",standard troubleshooting offered
g047,appreciation,subscription_plan,False,False,0.6,False,True,False,poor,0.0,0.0,"Haha, nice! For now, just give us a shout if there's anything else.",informational plan/premium FAQ
g048,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.0,0.01881504139158282,"Awesome! If there's anything else you need, just give us a shout",appreciation = no action
g049,appreciation,account_access,False,True,0.6,False,False,False,,,,,"account access, low signal -> verify"
g050,playback_issue,playback_issue,False,False,0.85,True,True,True,good,0.7,0.8395793484863726,"Hi there, help's here! Can you let us know the device/OS you’re using? We'll see what we can suggest",standard troubleshooting offered
g051,family_plan,family_plan,False,True,0.6,True,False,False,,,,,family_plan requires account verification or human review
g052,subscription_plan,subscription_plan,True,True,0.6,True,True,False,,,,,promo/cancel flow failing on the account
g053,subscription_plan,content_missing,False,False,0.6,False,True,False,poor,0.05,0.10831053211535163,"Fingers crossed we'll be able to have it soon, but there's info about Spotify content here:",content_missing is informational/acknowledge-only
g054,content_missing,content_missing,False,False,0.85,True,True,True,good,0.5,0.3219427529255317,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here:",content_missing is informational/acknowledge-only
g055,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g056,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.10526315789473684,0.01220285823048261,"Awesome, that's great to hear! Enjoy your tunes, and if you ever need us - just shout 🎶",appreciation = no action
g057,feature_and_feedback,playback_issue,False,False,0.85,False,True,False,poor,0.21052631578947367,0.16888904610067057,Hey there! Thanks for your feedback. We'll pass it on. Check out if you haven't had Premium before,standard troubleshooting offered
g058,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g059,playback_issue,playback_issue,False,False,0.6,True,True,True,poor,0.18181818181818182,0.06389714401510355,We hear you 🎧 Rest assured your feedback will be passed on to the right folks,standard troubleshooting offered
g060,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g061,playback_issue,playback_issue,False,False,0.85,True,True,True,good,0.3333333333333333,0.3613260705145319,Hi Issa! Could you send us a DM with your account's email address or username? We'll take a look backstage,standard troubleshooting offered
g062,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.09523809523809523,0.015556076342085853,Hi Vedan! That's not cool. Can you let us know the browser and OS versions you're rocking?,standard troubleshooting offered
g063,subscription_plan,subscription_plan,True,False,0.6,True,False,True,good,0.5714285714285714,0.575658776271784,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage,informational plan/premium FAQ
g064,appreciation,technical_issue,False,False,0.6,False,True,False,good,0.23529411764705882,0.34781648252434977,Anytime! Let us know if you ever need us again. We'd be...,standard troubleshooting offered
g065,feature_and_feedback,content_missing,False,False,0.85,False,True,False,poor,0.23529411764705882,0.02651613644373793,"Hey there! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks",content_missing is informational/acknowledge-only
g066,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.10714285714285714,0.027078916268479455,Your downloaded tunes are safe. You'll just have to resync them after you reinstall the app. Keep us posted,standard troubleshooting offered
g067,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,poor,0.043478260869565216,0.0035608997461246466,Hey Sue! We've just replied to your DM. Check your Messages,feature_and_feedback is informational/acknowledge-only
g068,account_access,account_access,False,True,0.6,True,False,False,,,,,"account access, low signal -> verify"
g069,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.16666666666666666,0.0627643367669499,"Hey! In case something out of the ordinary happens again, check here for what to do. If you need anything else, just let us know 🙂",appreciation = no action
g070,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.23529411764705882,0.16068428247793853,"Hey! That's not cool. What device, operating system, and browser are you using? We'll see what we can suggest",standard troubleshooting offered
g071,feature_and_feedback,content_missing,False,False,0.6,False,True,False,poor,0.30434782608695654,0.21026576886794932,We hear you 🎧 It's definitely something for the team to consider and we'll make sure it reaches them,content_missing is informational/acknowledge-only
g072,device_compatibility,device_compatibility,False,False,0.6,True,True,True,poor,0.29411764705882354,0.1444076753898589,"Hey Tristan, help's here! Can you DM us your account's email address? We'll check backstage",device_compatibility is informational/acknowledge-only
g073,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.125,0.06327296105594751,Hey there! We've just sent a DM your way. Let's carry on chatting there,standard troubleshooting offered
g074,technical_issue,content_missing,True,False,0.6,False,False,False,poor,0.08,0.018500023998228584,Hey! We've just sent you a bit more info over DM. We'll carry on helping out there,content_missing is informational/acknowledge-only
g075,feature_and_feedback,playback_issue,False,False,0.85,False,True,False,poor,0.058823529411764705,0.021473337562743666,"Hey there! Just to check, is your Spotify misbehaving? Can you let us know what's happening exactly? We'd love to help out",standard troubleshooting offered
g076,subscription_plan,subscription_plan,False,False,0.85,True,True,True,poor,0.15789473684210525,0.038876509757686105,"If you've never had Premium before, you can sign up for our free 30-day trial at Any questions, give us a shout",informational plan/premium FAQ
g077,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.19047619047619047,0.04677648019445743,Hey there! We've replied to your DM. We'll carry on helping out there,appreciation = no action
g078,playback_issue,playback_issue,False,False,0.6,True,True,True,good,0.85,0.7853269010769334,"Hi there! Can you tell us what specific device, operating system, and Spotify version you're using? We'll see what we can suggest",standard troubleshooting offered
g079,playback_issue,playback_issue,False,False,0.85,True,True,True,good,0.7368421052631579,0.8234240766241783,Hey Noah! Help's here. Can you DM us your account's email address? We'll take a look backstage,standard troubleshooting offered
g080,subscription_plan,subscription_plan,True,False,0.85,True,False,True,poor,0.2,0.0773737154609308,Hey there! Help's here. Can you DM us your account's email address or username? We'll take a look backstage,informational plan/premium FAQ
g081,account_access,account_access,False,True,0.85,True,False,False,,,,,"account access, low signal -> verify"
g082,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.05263157894736842,0.017178345503928324,"Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help",standard troubleshooting offered
g083,feature_and_feedback,feature_and_feedback,False,False,0.85,True,True,True,poor,0.2,0.04604799445122143,Hey there! You should be able to sort and filter your playlists on your mobile device. Check out the steps at 🙂,feature_and_feedback is informational/acknowledge-only
g084,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,poor,0.2,0.1564588759247222,"Hey there! Sorry to hear Discover Weekly wasn’t to your liking this week. Don't worry, we'll get this passed onto the right team",feature_and_feedback is informational/acknowledge-only
g085,account_access,account_access,False,True,0.6,True,False,False,,,,,"account access, low signal -> verify"
g086,subscription_plan,device_compatibility,False,False,0.6,False,True,False,poor,0.0625,0.029860904373090975,You can find a list of locations at but we'd recommend reaching out to the retailers for availability,device_compatibility is informational/acknowledge-only
g087,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.21875,0.19830111267271103,Hmm. Can you let us know the OS X and Spotify versions that you're using? We'll see what we can suggest,standard troubleshooting offered
g088,playback_issue,feature_and_feedback,False,False,0.85,False,True,False,poor,0.058823529411764705,0.050190832443253404,Hey! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage,feature_and_feedback is informational/acknowledge-only
g089,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g090,subscription_plan,subscription_plan,False,False,0.85,True,True,True,good,0.75,0.6428118266180969,Hey Céilí! Could you send us a DM with your account's email address or username? We'll take a look backstage,informational plan/premium FAQ
g091,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.0,0.0,You're welcome!,appreciation = no action
g092,playback_issue,playback_issue,True,False,0.6,True,False,True,poor,0.13636363636363635,0.07613347997977087,That doesn't sound! Can you send us a link to that song? We'll take a closer look,standard troubleshooting offered
g093,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.125,0.10542575555329162,Awesome! Let us know if you ever need us again. We'd be...,standard troubleshooting offered
g094,subscription_plan,subscription_plan,True,True,0.6,True,True,False,,,,,account status mismatch -> verify billing state
g095,device_compatibility,other,False,True,0.3,False,False,False,,,,,other requires account verification or human review
g096,account_access,device_compatibility,True,False,0.6,False,False,False,good,0.7333333333333333,0.7880996268004405,Hey Ashley! That doesn't sound good. Can you DM us your account's email address? We'll check things backstage,device_compatibility is informational/acknowledge-only
g097,subscription_plan,subscription_plan,True,True,0.6,True,True,False,,,,,account status mismatch -> verify billing state
g098,subscription_plan,subscription_plan,True,False,0.85,True,False,True,good,0.4090909090909091,0.2912970488051088,Hey Abbey! Can you tell us a bit more about what's going on? We'll see what we can suggest,informational plan/premium FAQ
g099,content_missing,content_missing,False,False,0.6,True,True,True,poor,0.11764705882352941,0.09027005264425188,"Hi! Can you let us know the artist of the track you're looking for? Also, what country is your Spotify account set to? We'll take a look",content_missing is informational/acknowledge-only
g100,subscription_plan,subscription_plan,False,False,0.85,True,True,True,poor,0.0,0.0,Does logging out > restarting the device > logging back in help? Keep us posted,informational plan/premium FAQ
g101,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.125,0.03640512805756152,"Copy that. If you haven't tried this yet, can you restart your PC? Can we also know when did this start happening? Was it after a specific update?",standard troubleshooting offered
g102,appreciation,appreciation,False,False,0.85,True,True,True,good,0.22727272727272727,0.2904809027619725,You're welcome. Just let us know if you need anything else. We'd be... 🙂,appreciation = no action
g103,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.0,0.03166084726054572,You're welcome! Let us know if you ever need us again. We'd be...,appreciation = no action
g104,playback_issue,playback_issue,False,False,0.85,True,True,True,poor,0.1,0.052274517043778064,Hi there! Can you let us know which device and operating system you're using? We'll see what we can suggest,standard troubleshooting offered
g105,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.16666666666666666,0.1277577356060251,Cool! We're just a tweet away if you have other questions. Have a... 😉,appreciation = no action
g106,subscription_plan,subscription_plan,True,False,0.6,True,False,True,poor,0.0,0.0,"Hi! The 3 months for the price of 1 is only available until the 31st of December. For more info, click here:",informational plan/premium FAQ
g107,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g108,playback_issue,playback_issue,False,False,0.6,True,True,True,good,0.5217391304347826,0.382660234912349,"Hi there! That doesn't look good. Can you let us know the make and model of you device, along with its iOS version? We'll see what we can suggest",standard troubleshooting offered
g109,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.125,0.14648665950272682,Got it! We've just replied to your DM. We'll carry on helping there,appreciation = no action
g110,payment_billing,device_compatibility,True,False,0.6,False,False,False,good,0.5833333333333334,0.5377381305130439,Hey! We've just replied to your DM. We'll be happy to help you out there,device_compatibility is informational/acknowledge-only
g111,family_plan,subscription_plan,False,False,0.85,False,True,False,poor,0.058823529411764705,0.06466495850847659,Hey Rick! That's not cool. Can you DM us your account's email address? We'll see what we can suggest,informational plan/premium FAQ
g112,other,other,True,True,0.3,True,True,False,,,,,other requires account verification or human review
g113,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.0,0.0084966142261664,You're welcome! Have a nice day ✌,appreciation = no action
g114,payment_billing,payment_billing,True,True,0.85,True,True,False,,,,,payment_billing requires account verification or human review
g115,payment_billing,content_missing,True,False,0.6,False,False,False,good,0.4117647058823529,0.31563561021556374,"Hey Pati! Could you DM us your account's username or email address? Also, what country are you currently located at?",content_missing is informational/acknowledge-only
g116,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g117,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.09523809523809523,0.03914316741247525,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this,standard troubleshooting offered
g118,feature_and_feedback,device_compatibility,False,False,0.85,False,True,False,poor,0.3333333333333333,0.20120779499210967,Hey Linsey! We're here to help. Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest,device_compatibility is informational/acknowledge-only
g119,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.0,0.02420384495508466,Hey there! Check out the steps under “Downloads unexpectedly removed” at They should help with this 🙂,standard troubleshooting offered
g120,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.0,0.0,We've replied to your DM. Let's carry on chatting there,standard troubleshooting offered
g121,feature_and_feedback,playback_issue,False,False,0.85,False,True,False,poor,0.17647058823529413,0.22508424097836927,Hey there! Could you tell us what's happening exactly? We'll see what we can suggest,standard troubleshooting offered
g122,appreciation,device_compatibility,False,False,0.85,False,True,False,poor,0.0,0.0,You're welcome! 🙂,device_compatibility is informational/acknowledge-only
g123,device_compatibility,device_compatibility,False,False,0.6,True,True,True,good,0.35714285714285715,0.33257372600629787,Hey there! Could you send us your account's username or email address via DM? We'll take a look backstage,device_compatibility is informational/acknowledge-only
g124,subscription_plan,subscription_plan,True,False,0.85,True,False,True,good,0.42857142857142855,0.33544447185890375,Hey there! Can you let us know the iOS and Spotify versions you're using? We'll take a look backstage,informational plan/premium FAQ
g125,subscription_plan,subscription_plan,False,False,0.85,True,True,True,good,0.6190476190476191,0.5752669620737725,Hi there! Help's here. Can you DM us your account's username or email address? We'll check things backstage,informational plan/premium FAQ
g126,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,poor,0.06666666666666667,0.05556160343978042,"We're afraid that we don't have that info, but rest assured that our devs are monitoring all feedback in our Community",feature_and_feedback is informational/acknowledge-only
g127,content_missing,appreciation,False,False,0.85,False,True,False,poor,0.125,0.09637527189756448,Hey there! We're launching in new countries as often as possible. Be sure to add your email at to be notified,appreciation = no action
g128,account_access,account_access,False,False,0.6,True,True,True,good,0.34782608695652173,0.33076139797525034,"Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood",login troubleshooting (self-serve steps)
g129,appreciation,technical_issue,False,False,0.6,False,True,False,good,0.26666666666666666,0.29304154794299586,Awesome! Let us know if you ever need us again. We'd be...,standard troubleshooting offered
g130,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g131,technical_issue,technical_issue,False,False,0.85,True,True,True,good,0.35294117647058826,0.4432042048725302,"Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest",standard troubleshooting offered
g132,account_access,account_access,False,True,0.85,True,False,False,,,,,"account access, low signal -> verify"
g133,account_access,device_compatibility,True,False,0.85,False,False,False,good,0.8947368421052632,0.90053920689682,"Hi there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage",device_compatibility is informational/acknowledge-only
g134,technical_issue,technical_issue,False,False,0.85,True,True,True,good,0.375,0.17098209721194865,"Hi there! We don't have any info on this right now, but keep an eye out for any updates. Give us a shout if you have any questions 🙂",standard troubleshooting offered
g135,other,appreciation,True,False,0.85,False,False,False,poor,0.1,0.0635987210957312,Hey Callie! Can you let us know what Spotify version you're running? We'll see what we can suggest,appreciation = no action
g136,appreciation,subscription_plan,False,False,0.85,False,True,False,poor,0.045454545454545456,0.036845576433821955,Hey there! What country is your account set to? We'll check backstage,informational plan/premium FAQ
g137,playback_issue,playback_issue,False,False,0.6,True,True,True,poor,0.17647058823529413,0.06043920781920803,"Hey there! Just to check, does it only happen after your playlist ends or in between tracks? Keep us in the loop",standard troubleshooting offered
g138,technical_issue,technical_issue,True,False,0.85,True,False,True,good,0.32,0.2534972302003617,Thanks for giving it a shot. Can you let us know the exact model of your Apple device? Are you having similar issues with other apps?,standard troubleshooting offered
g139,content_missing,content_missing,False,False,0.85,True,True,True,poor,0.15789473684210525,0.17486922668275537,Hey Matthew! We've just sent you a message over DM. We'll continue helping there,content_missing is informational/acknowledge-only
g140,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,poor,0.21052631578947367,0.2239399637356663,"Hey there, we're here to help! What's going on exactly? Can you DM us with your account's email address and username?",feature_and_feedback is informational/acknowledge-only
g141,family_plan,family_plan,True,True,0.85,True,True,False,,,,,family_plan requires account verification or human review
g142,device_compatibility,feature_and_feedback,False,False,0.6,False,True,False,poor,0.2,0.08829738294597482,Hey there! We'd love to help. Can you let us know what's happening exactly?,feature_and_feedback is informational/acknowledge-only
g143,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.0,0.0,That doesn't sound right. Does logging out then back in again make any difference?,standard troubleshooting offered
g144,account_access,account_access,True,True,0.6,True,True,False,,,,,security/compromise signal
g145,feature_and_feedback,technical_issue,False,False,0.6,False,True,False,good,0.34615384615384615,0.2605970553530689,"Awesome! We're glad that did the trick. If you ever need help with anything else, you know where to find us",standard troubleshooting offered
g146,subscription_plan,subscription_plan,False,False,0.6,True,True,True,poor,0.10526315789473684,0.15205167010202322,Hey Alyssa! Can you DM us your account's email address? We'll have a look,informational plan/premium FAQ
g147,playback_issue,playback_issue,False,False,0.85,True,True,True,good,0.5454545454545454,0.48220742132950634,"Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using?",standard troubleshooting offered
g148,account_access,account_access,True,False,0.85,True,False,True,poor,0.3333333333333333,0.23657562409088256,Hey there! We recommend deleting your last tweet as it contains your private info. Can you DM us your email address instead?,password guidance is self-serve
g149,account_access,account_access,False,False,0.6,True,True,True,poor,0.043478260869565216,0.03650210770841173,Hi there! We’re sorry to hear that. Check out for what to do next,password guidance is self-serve
g150,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g151,feature_and_feedback,feature_and_feedback,False,False,0.85,True,True,True,poor,0.3181818181818182,0.16109818017023705,Hey there! Pre-sale codes are sent out via email to certain select artist's biggest fans on Spotify. Hopefully you're one of them 🙂,feature_and_feedback is informational/acknowledge-only
g152,account_access,account_access,True,True,0.85,True,True,False,,,,,"account access, low signal -> verify"
g153,subscription_plan,subscription_plan,True,False,0.6,True,False,True,poor,0.05555555555555555,0.19604338563942927,"Hi, we've just replied to your DMs. We'll carry on chatting there",informational plan/premium FAQ
g154,subscription_plan,subscription_plan,False,False,0.6,True,True,True,good,0.6666666666666666,0.8305890430043449,Could you send us a DM with your account's email address or username? We'll take a look backstage,informational plan/premium FAQ
g155,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g156,account_access,family_plan,True,True,0.6,False,True,False,,,,,family_plan requires account verification or human review
g157,content_missing,content_missing,False,False,0.85,True,True,True,good,0.9411764705882353,0.9267152710233257,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles:",content_missing is informational/acknowledge-only
g158,subscription_plan,subscription_plan,True,False,0.6,True,False,True,good,0.875,0.8510336582800357,"Hi there! We can help out in English via Twitter, but we also have [LANGUAGE] support via email at",informational plan/premium FAQ
g159,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g160,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g161,content_missing,content_missing,False,False,0.85,True,True,True,poor,0.0,0.0,"Hacemos lo que podemos. A veces, tenemos en marcha acuerdos o en algunos casos, no podemos llegar a ciertos acuerdos",content_missing is informational/acknowledge-only
g162,other,device_compatibility,False,False,0.6,False,True,False,poor,0.0,0.0,"You're welcome! If you need anything else, just let us know. 🙂",device_compatibility is informational/acknowledge-only
g163,playback_issue,feature_and_feedback,False,False,0.6,False,True,False,good,0.7058823529411765,0.8238132066691449,Hi there! Can you DM us your account's email address? We'll take a look backstage,feature_and_feedback is informational/acknowledge-only
g164,payment_billing,payment_billing,False,True,0.6,True,False,False,,,,,payment_billing requires account verification or human review
g165,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g166,playback_issue,playback_issue,False,False,0.6,True,True,True,poor,0.1,0.009448271724364885,"Thanks! Can you try logging out, restarting your phone by holding Home + Lock for 10 seconds, and logging back in? Any better?",standard troubleshooting offered
g167,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.0,0.0,Hey there! Can you DM us your account's email address or username? We'll take a look,standard troubleshooting offered
g168,technical_issue,other,False,True,0.3,False,False,False,,,,,other requires account verification or human review
g169,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g170,technical_issue,technical_issue,False,False,0.6,True,True,True,good,0.4090909090909091,0.29802307748406415,Hey there! Can you let us know the internet browser you're using? Are you on a WiFi or 3G/4G connection?,standard troubleshooting offered
