id,text,raw_text,first_pass_label,escalation_suggestion,should_escalate,human_notes,customer_tweet_id,conversation_id,month,flag_month_tail,msg_len,flag_short,flag_long,flag_noisy,flag_ambiguous,stratum_bucket,review_status,intent,label_disagrees_with_first_pass,first_pass_matches
g010,"I’ve been trying to cancel my subscription for two months now, and this makes the third month you’ve charged me. Send help! SOS","@115888 @117168 I’ve been trying to cancel my subscription for two months now, and this makes the third month you’ve charged me. Send help! SOS",payment_billing,True,True,cancel attempt + continued charges,1778503,1778503,2017-11,True,127,False,True,True,True,payment_billing,reviewed,payment_billing,False,True
g011,Bummer! What a great feature.,@SpotifyCares Bummer! What a great feature.,feature_and_feedback,False,False,sarcastic feedback,2042313,2042314,2017-10,True,29,False,False,False,True,feature_and_feedback,reviewed,feature_and_feedback,False,True
g012,Hey guys. I'm unable to pay for Spotify now after my trial is over. Can you help me? I think it's because I had my credit card stored in an account that I've forgotten about.,@SpotifyCares Hey guys. I'm unable to pay for Spotify now after my trial is over. Can you help me? I think it's because I had my credit card stored in an account that I've forgotten about.,device_compatibility,False,True,card stuck in forgotten account; needs account lookup,2947640,2947640,2017-11,True,174,False,True,False,True,device_compatibility,reviewed,payment_billing,True,False
g013,I believe my account has been hacked. My email address has been changed to something French and I cannot log in.,@SpotifyCares I believe my account has been hacked. My email address has been changed to something French and I cannot log in.,account_access,False,True,hacked (security),508873,508873,2017-12,False,112,False,True,False,False,account_access,reviewed,account_access,False,True
g014,Hi anyway I can get last week's Discover Weekly back? Thanks! X,Hi @116130 anyway I can get last week's Discover Weekly back? Thanks! X,feature_and_feedback,False,False,,1900533,1900533,2017-10,True,63,False,True,False,True,feature_and_feedback,reviewed,feature_and_feedback,False,True
g015,Hey I already paid for a family account and went to enter my address and I can't enter it. Please help ASAP.,@SpotifyCares Hey I already paid for a family account and went to enter my address and I can't enter it. Please help ASAP. https://t.co/l4vGol7uL6,family_plan,True,True,,1410930,1410930,2017-11,True,108,False,True,True,True,family_plan,reviewed,family_plan,False,True
g016,im being charged for Spotify after canceling my Facebook. I want to cancel my subscription to Spotify but it won’t allow me to. I have another account. Could this premium payment I’ve been forced to make be used for that acct?,@SpotifyCares im being charged for Spotify after canceling my Facebook. I want to cancel my subscription to Spotify but it won’t allow me to. I have another account. Could this premium payment I’ve been forced to make be used for that acct?,payment_billing,True,True,,592803,592803,2017-12,False,226,False,True,True,True,payment_billing,reviewed,payment_billing,False,True
g017,"hello there, has anyone acknowledged my DM? Or please may you provide an email address so I pursue my query. Thanks.","@116130 hello there, has anyone acknowledged my DM? Or please may you provide an email address so I pursue my query. Thanks.",appreciation,False,True,DM follow-up; underlying issue unknown -> human,845924,845924,2017-10,True,116,False,True,False,False,appreciation,reviewed,other,True,False
g018,I have since logged out of all devices and updated my password but I'd like to know where that listening activity came from.,@SpotifyCares I have since logged out of all devices and updated my password but I'd like to know where that listening activity came from.,account_access,False,True,unexplained listening activity -> security review,850169,850170,2017-10,True,124,False,True,False,True,account_access,reviewed,account_access,False,True
g019,I’m on student plan but I’ve just been charged the full premium amount?! ☹,@SpotifyCares I’m on student plan but I’ve just been charged the full premium amount?! ☹️,payment_billing,True,True,,1814635,1814635,2017-10,True,74,False,True,True,True,payment_billing,reviewed,payment_billing,False,True
g020,hi again! i just really love westlife and that album so i'd really appreciate a reason as to why it's not on there anymore! btw i love spotify it amazing and outsold Apple Music x,@SpotifyCares @97700 hi again! i just really love westlife and that album so i'd really appreciate a reason as to why it's not on there anymore! btw i love spotify it amazing and outsold Apple Music x,content_missing,False,False,,2516155,2516156,2017-11,True,179,False,True,False,True,content_missing,reviewed,content_missing,False,True
g021,"hi I'm tryin to cancel my premium subs,but when I try to go to page to press cancel it's telling me I'm a free user","@SpotifyCares hi I'm tryin to cancel my premium subs,but when  I try to go to page to press cancel it's telling me I'm a free user",subscription_plan,False,True,cancel flow blocked,634035,634035,2017-11,True,115,False,True,False,False,subscription_plan,reviewed,subscription_plan,False,True
g022,Hi. I'm an administrator of this artist page : How can i create a playlist as an artist? And when i will get the verification badge? I have already logged in with my personal profile. Thx,"@SpotifyCares Hi. I'm an administrator of this artist page : https://t.co/ILQrKMu6JM.
How can i create a playlist as an artist? And when i will get the verification badge? I have already logged in with my personal profile. Thx",appreciation,False,False,artist-account how-to,479862,479862,2017-12,False,187,False,True,False,False,appreciation,reviewed,feature_and_feedback,True,False
g023,Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,account_access,False,True,hacked today (security),588873,588873,2017-12,False,150,False,True,False,False,account_access,reviewed,account_access,False,True
g024,I'm being charged for one account on two different cards. Please can you help?,@SpotifyCares I'm being charged for one account on two different cards. Please can you help?,payment_billing,True,True,,1858484,1858484,2017-10,True,78,False,True,False,True,payment_billing,reviewed,payment_billing,False,True
g025,If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,payment_billing,True,False,informational billing FAQ,455640,455640,2017-11,True,142,False,True,True,True,payment_billing,reviewed,payment_billing,False,True
g026,"i just reset my password and i can log in but not on the app, i even uninstalled it and reinstalled it but nope fuck our users","@115888 i just reset my password and i can log in but not on the app, i even uninstalled it and reinstalled it but nope fuck our users",account_access,False,False,app login after reinstall -> troubleshooting,2027301,2027301,2017-11,True,126,False,True,False,True,account_access,reviewed,account_access,False,True
g027,I am having trouble uploading payment information and it keeps saying it's not updated. PLEASE ADVISE.,@117153 I am having trouble uploading payment information and it keeps saying it's not updated. PLEASE ADVISE.,payment_billing,True,True,,1780432,1780432,2017-10,True,102,False,True,True,True,payment_billing,reviewed,payment_billing,False,True
g028,any update on when Reputation will be on Spotify?,@SpotifyCares any update on when Reputation will be on Spotify?,content_missing,False,False,,2718583,2718583,2017-11,True,49,False,True,False,True,content_missing,reviewed,content_missing,False,True
g029,"spotify should have full credit/historical background on everything from mastering, to album art, to where it was published etc","spotify should have full credit/historical background on everything from mastering, to album art, to where it was published etc",content_missing,False,False,feature request,1541248,1541248,2017-11,True,127,False,True,False,False,content_missing,reviewed,feature_and_feedback,True,False
g030,"Hi - my partner upgraded to spotify family yesterday and invited me to join, but I'm getting 'error 600' each time I register","@SpotifyCares Hi - my partner upgraded to spotify family yesterday and invited me to join, but I'm getting 'error 600' each time I register",subscription_plan,False,True,join error 600,1960759,1960759,2017-10,True,125,False,True,False,True,subscription_plan,reviewed,family_plan,True,False
g031,"Fix, bulan ini nggak mau spotify premium.","Fix, bulan ini nggak mau spotify premium.",subscription_plan,False,True,non-EN; cancel/status ambiguity -> verify,1542050,1542050,2017-11,True,41,False,True,False,False,subscription_plan,reviewed,subscription_plan,False,True
g032,spotify took money from my credit card and I didn't get premium version,spotify took money from my credit card and I didn't get premium version   @327793 @151631,payment_billing,True,True,,1948155,1948155,2017-10,True,71,False,True,False,True,payment_billing,reviewed,payment_billing,False,True
g033,I have student plan why did you guys charge me ten dollars,@SpotifyCares I have student plan why did you guys charge me ten dollars,payment_billing,True,True,,2293048,2293048,2017-11,True,58,False,True,False,True,payment_billing,reviewed,payment_billing,False,True
g034,Fixed 😁 for now!,@SpotifyCares Fixed 😁 for now!,appreciation,False,False,,771450,771451,2017-10,True,16,True,False,True,False,appreciation,reviewed,appreciation,False,True
g035,"Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random? For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.","@SpotifyCares Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random?  For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.",playback_issue,False,False,,166637,166638,2017-11,True,215,False,True,False,True,playback_issue,reviewed,playback_issue,False,True
g036,I have removed someone from my premium family so they can set up their own account but says they are still linked to mine?,@SpotifyCares I have removed someone from my premium family so they can set up their own account but says they are still linked to mine?,content_missing,False,True,member removal state,2081887,2081887,2017-10,True,122,False,True,False,True,content_missing,reviewed,family_plan,True,False
g037,Ok thanks. I’m listening to music most the time and doing something else. Maybe have a Seperate music video playlist and normal playlist?,@SpotifyCares Ok thanks. I’m listening to music most the time and doing something else. Maybe have a Seperate music video playlist and normal playlist?,appreciation,False,False,playlist feature suggestion,821807,821808,2017-10,True,137,False,True,True,False,appreciation,reviewed,feature_and_feedback,True,False
g038,"Hey guys, i cant listen to any Metallica songs on the desktop App, but its available on webplayer / mobile App, can you help?","@SpotifyCares Hey guys, i cant listen to any Metallica songs on the desktop App, but its available on webplayer / mobile App, can you help?",device_compatibility,False,False,desktop-only malfunction,939996,939996,2017-10,True,125,False,True,False,False,device_compatibility,reviewed,technical_issue,True,False
g039,Hi there. I just registered my premium a/c with Facebook but would like a login & password. How can I do this?,@SpotifyCares Hi there. I just registered my premium a/c with Facebook but would like a login &amp; password. How can I do this?,account_access,False,False,info how-to,2942731,2942731,2017-11,True,110,False,True,False,True,account_access,reviewed,account_access,False,True
g040,has been hacked please help! - __email__,@115888 @84400 has been hacked please help! @51531 - __email__,account_access,False,True,hacked (security),1853895,1853895,2017-09,False,40,False,False,False,False,account_access,reviewed,account_access,False,True
g041,I wrote one of my best cover letters ever for your Sales Planning position in Chicago. I hope you get a chance to read it!,@7997 I wrote one of my best cover letters ever for your Sales Planning position in Chicago. I hope you get a chance to read it!,other,True,True,job application -> off-topic,1278271,1278271,2017-10,True,122,False,True,False,False,other,reviewed,other,False,True
g042,I did an update for Spotify on my desktop yesterday and now I can not access Spotify it tells me to reinstall the application I have done that and it still won't let the Spotify window pop up the only way I can access Spotify is on my tablet.,@SpotifyCares I did an update for Spotify on my desktop yesterday and now I can not access Spotify it tells me to reinstall the application I have done that and it still won't let the Spotify window pop up the only way I can access Spotify is on my tablet.,technical_issue,False,False,,564546,564546,2017-12,False,242,False,True,False,True,technical_issue,reviewed,technical_issue,False,True
g043,What if you already have both accounts (Spotify premium and regular Hulu) how do you go about getting the discount and premium??? 🤔🤔,@115888 What if you already have both accounts (Spotify premium and regular Hulu) how do you go about getting the discount and premium??? 🤔🤔,subscription_plan,False,False,Hulu+Premium promo info,189939,189825,2017-10,True,132,False,True,True,False,subscription_plan,reviewed,subscription_plan,False,True
g044,"When trying to listen to Metallica an error comes up saying the song is not available, I've tried re-installing. Please help!","@SpotifyCares When trying to listen to Metallica an error comes up saying the song is not available, I've tried re-installing. Please help!",content_missing,False,False,error states 'not available',1452095,1452095,2017-10,True,125,False,True,False,True,content_missing,reviewed,content_missing,False,True
g045,Hello! The most basic kind. I want to sort my playlists by A-Z!,@SpotifyCares Hello! The most basic kind. I want to sort my playlists by A-Z!,other,True,False,sort playlists feature request,228081,228083,2017-10,True,63,False,True,False,False,other,reviewed,feature_and_feedback,True,False
g046,"Sigh. It's an LG SUNSET and the version is whatever comes up from Google playstore. Again, all updates have been done.","@SpotifyCares Sigh. It's an LG SUNSET and the version is whatever comes up from Google playstore. Again, all updates have been done.",technical_issue,False,False,,295984,295982,2017-10,True,118,False,True,True,False,technical_issue,reviewed,technical_issue,False,True
g047,Yes! I will keep my subscription :) thank you,@SpotifyCares Yes! I will keep my subscription :) thank you,subscription_plan,False,False,will keep subscription = resolved acknowledgement,2707730,2707728,2017-11,True,45,False,True,False,True,subscription_plan,reviewed,appreciation,True,False
g048,"Aha! It came through. Thanks, found it.","@SpotifyCares Aha! It came through. Thanks, found it.",appreciation,False,False,,58929,58931,2017-11,True,39,False,False,False,False,appreciation,reviewed,appreciation,False,True
g049,...it works. 🤦♀ I logged out and back in earlier today but didn't turn off the phone that time. Very embarrassing. Thanks for help.,@SpotifyCares ...it works. 🤦‍♀️ I logged out and back in earlier today but didn't turn off the phone that time. Very embarrassing. Thanks for help.,account_access,False,False,resolved after restart,1129477,1129475,2017-10,True,131,False,True,True,True,account_access,reviewed,appreciation,True,False
g050,"No, I have to close the app each time I finish talking on a call in order for Spotify to give me the option to play/pause the music again. Otherwise it says it’s playing and the time goes on with no music playing and won’t let me pause it","@SpotifyCares No, I have to close the app each time I finish talking on a call in order for Spotify to give me the option to play/pause the music again. Otherwise it says it’s playing and the time goes on with no music playing and won’t let me pause it",playback_issue,False,False,,2218935,2218933,2017-11,True,238,False,True,True,False,playback_issue,reviewed,playback_issue,False,True
g051,"if I end my subscription of Spotify and my bro opens a family account, what happens to the playlists I've created?","@115888 if I end my subscription of Spotify and my bro opens a family account, what happens to the playlists I've created?",family_plan,True,False,informational playlist question,2032196,2032196,2017-11,True,114,False,True,False,True,family_plan,reviewed,family_plan,False,True
g052,"so my student status is verified, but when I click ""continue"" on the Get Started with Hulu page, I get an error message. The first time it said to contact Spotify support. Now it just says ""This field is required."" What the heck do I do?","@SpotifyCares so my student status is verified, but when I click ""continue"" on the Get Started with Hulu page, I get an error message. The first time it said to contact Spotify support. Now it just says ""This field is required."" What the heck do I do?",subscription_plan,False,True,student+Hulu error during flow,545939,545939,2017-12,False,237,False,True,False,True,subscription_plan,reviewed,subscription_plan,False,True
g053,why can't i listen to the FULL album @ free spotify i hate u,why can't i listen to the FULL album @ free spotify i hate u,content_missing,False,False,free-tier playback restrictions,847153,847153,2017-10,True,60,False,True,True,True,content_missing,reviewed,subscription_plan,True,False
g054,hi when will you release SHINee's full discography thnx,hi @115888 when will you release SHINee's full discography thnx,content_missing,False,False,,2076361,2076361,2017-10,True,55,False,True,True,False,content_missing,reviewed,content_missing,False,True
g055,sudsenly for the last week Im getting this notification. Premium account holder Android and card is valid and has been charged.,@115888 sudsenly for the last week Im getting this notification. Premium account holder Android and card is valid and has been charged. https://t.co/lfYgLt0pmk,payment_billing,True,True,,2368030,2368030,2017-11,True,127,False,True,False,True,payment_billing,reviewed,payment_billing,False,True
g056,"It works, thank you!","@SpotifyCares It works, thank you!",appreciation,False,False,,1027811,1027809,2017-10,True,20,False,False,False,False,appreciation,reviewed,appreciation,False,True
g057,Not really I actually think over all the app is shit. There’s not enough options. You can’t skip the songs you want without paying 9.99 a month which is disgusting.... frankly it’s not worth the space on my phone.... waste of time and money.,@SpotifyCares Not really I actually think over all the app is shit. There’s not enough options. You can’t skip the songs you want without paying 9.99 a month which is disgusting.... frankly it’s not worth the space on my phone.... waste of time and money.,playback_issue,False,False,free-tier pricing complaint/feedback,506015,506016,2017-12,False,241,False,True,True,False,playback_issue,reviewed,feature_and_feedback,True,False
g058,"hey! I upgraded to a family account and input some wrong info, I need to update it. Thanks","@SpotifyCares hey! I upgraded to a family account and input some wrong info, I need to update it. Thanks",family_plan,True,True,,1517703,1517703,2017-10,True,90,False,True,False,True,family_plan,reviewed,family_plan,False,True
g059,Im not getting an error message. It just wont play. No matter how long i wait or tap the shuffle button,@SpotifyCares Im not getting an error message. It just wont play. No matter how long i wait or tap the shuffle button,playback_issue,False,False,,887914,887919,2017-10,True,103,False,True,False,True,playback_issue,reviewed,playback_issue,False,True
g060,"i can't seem to add others to my premium for family account, each time I try it just appears with a blank screen? Have tried on various devices!?","@SpotifyCares i can't seem to add others to my premium for family account, each time I try it just appears with a blank screen? Have tried on various devices!?",family_plan,True,True,,1698058,1698058,2017-11,True,145,False,True,False,True,family_plan,reviewed,family_plan,False,True
g061,"The acoustic version of ""Hands Down"" by Dashboard Confessional won't play for me on . This is a travesty!","The acoustic version of ""Hands Down"" by Dashboard Confessional won't play for me on @115888. This is a travesty!",playback_issue,False,False,,2834988,2834988,2017-11,True,105,False,True,False,False,playback_issue,reviewed,playback_issue,False,True
g062,"Hey , does Spotify still scrobble to ? Seems like it hasn't worked for me in ages.","Hey @SpotifyCares, does Spotify still scrobble to @13281? Seems like it hasn't worked for me in ages.",technical_issue,False,False,,258948,258948,2017-09,False,82,False,True,False,False,technical_issue,reviewed,technical_issue,False,True
g063,"Hey , I'm trying to update my billing info and when I hit get premium, it's only giving me the option to get the family plan that I do not need. Help a girl out before I switch to 🙃🙃🙃","Hey @SpotifyCares, I'm trying to update my billing info and when I hit get premium, it's only giving me the option to get the family plan that I do not need. Help a girl out before I switch to @115948 🙃🙃🙃 @115888 https://t.co/MYuqNvIuQi",subscription_plan,False,True,billing update + plan options blocked,2426233,2426233,2017-11,True,183,False,True,True,True,subscription_plan,reviewed,subscription_plan,False,True
g064,"Worked, thx","@SpotifyCares Worked, thx",technical_issue,False,False,,2635048,2635049,2017-11,True,11,True,False,False,True,technical_issue,reviewed,appreciation,True,False
g065,I wonder how decides who gets included in the New Releases section? Why include Noah Cyrus ft. woman beater but not ?,I wonder how @115888 decides who gets included in the New Releases section? Why include Noah Cyrus ft. woman beater but not @61700 ?,content_missing,False,False,editorial question,1492463,1492463,2017-09,False,117,False,True,False,False,content_missing,reviewed,feature_and_feedback,True,False
g066,"Hi, wondering if you can tell me why all my downloaded albums and playlists stop being available offline when I haven't listened for awhile? Thanks.","@SpotifyCares Hi, wondering if you can tell me why all my downloaded albums and playlists stop being available offline when I haven't listened for awhile? Thanks.",technical_issue,False,False,,2825217,2825217,2017-11,True,148,False,True,False,True,technical_issue,reviewed,technical_issue,False,True
g067,I'm a premium member and just heard there was a presale code for a concert I wanted to attend (sold out now). How do we get these notifications?,@SpotifyCares  I'm a premium member and just heard there was a presale code for a concert I wanted to attend (sold out now). How do we get these notifications?,feature_and_feedback,False,False,,2251425,2251425,2017-11,True,144,False,True,False,True,feature_and_feedback,reviewed,feature_and_feedback,False,True
g068,"is there a problem with your site? Can’t login to app or web player. Says incorrect user or pass, but I know they’re correct.","@SpotifyCares is there a problem with your site? Can’t login to app or web player. Says incorrect user or pass, but I know they’re correct.",account_access,False,False,troubleshooting wrong-password,2751322,2751322,2017-11,True,125,False,True,True,True,account_access,reviewed,account_access,False,True
g069,Hi I spoke to someone on the online chat and it’s been resolved thank you though,@SpotifyCares Hi I spoke to someone on the online chat and it’s been resolved thank you though,appreciation,False,False,,2795549,2795551,2017-11,True,80,False,True,True,False,appreciation,reviewed,appreciation,False,True
g070,"So, Spotify Web Player is not working, how am I gonna survive this Monday at work? #crying","So, Spotify Web Player is not working, how am I gonna survive this Monday at work? @SpotifyCares #crying",technical_issue,False,False,,1695213,1695213,2017-11,True,90,False,True,False,True,technical_issue,reviewed,technical_issue,False,True
g071,"So wait, , there's no way to add a someone on spotify to a playlist through spotify? I have to use a third party?","So wait, @115888, there's no way to add a someone on spotify to a playlist through spotify?  I have to use a third party? https://t.co/sgqUbXziS9",content_missing,False,False,third-party feature question,1079705,1079705,2017-10,True,113,False,True,False,True,content_missing,reviewed,feature_and_feedback,True,False
g072,"I would like to know, how can I save my songs not in the internal memory but on sd card on my phone. In my settings, I can't do it. Pls get back to me. Thanks","@115888 I would like to know, how can I save my songs not in the internal memory but on sd card on my phone. In my settings, I can't do it. Pls get back to me. Thanks",device_compatibility,False,False,sd-card storage how-to,79388,79388,2017-11,True,158,False,True,False,True,device_compatibility,reviewed,device_compatibility,False,True
g073,After the most recent update I get an error on Windows 7 about missing DLL: API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL for the desktop app. Any status on when this will be fixed? This is a huge bug.,"@SpotifyCares After the most recent update I get an error on Windows 7 about missing DLL:  API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL for the desktop app.
Any status on when this will be fixed?  This is a huge bug.",technical_issue,False,False,,492406,492406,2017-12,False,197,False,True,True,True,technical_issue,reviewed,technical_issue,False,True
g074,"Still the same issue, sorry! It's not just that album either – it's literally every single album in the entire Spotify catalogue, they all show one year earlier. I even went as far as deleting all cache/preference files when reinstalling and still nothing.","@SpotifyCares Still the same issue, sorry! It's not just that album either – it's literally every single album in the entire Spotify catalogue, they all show one year earlier. I even went as far as deleting all cache/preference files when reinstalling and still nothing.",content_missing,False,True,"reinstalled + cleared cache, persists (standard fixes exhausted)",579494,579495,2017-12,False,256,False,True,True,True,content_missing,reviewed,technical_issue,True,False
g075,you should have a super eclectic playlist called “Shitstorm Shuffle”...for when you’re not sure what mood you’re in :),@115888 you should have a super eclectic playlist called “Shitstorm Shuffle”…for when you’re not sure what mood you’re in :),playback_issue,False,False,playlist suggestion,1096237,1096237,2017-10,True,118,False,True,True,False,playback_issue,reviewed,feature_and_feedback,True,False
g076,"I’ve got Spotify logged in via my Facebook and my free premium has ended, how can I get premium as it’s not giving me the option on the app?","@SpotifyCares I’ve got Spotify logged in via my Facebook and my free premium has ended, how can I get premium as it’s not giving me the option on the app?",subscription_plan,False,False,,2472594,2472594,2017-11,True,140,False,True,True,False,subscription_plan,reviewed,subscription_plan,False,True
g077,"Done, thanks!","@SpotifyCares Done, thanks!",appreciation,False,False,,781907,781909,2017-10,True,13,True,False,False,False,appreciation,reviewed,appreciation,False,True
g078,"iPhone 7+, latest version- every time I get a notification on Snapchat , even if I don’t have the app open, it pauses my music playing in the Spotify app.","@SpotifyCares iPhone 7+, latest version- every time I get a notification on Snapchat , even if I don’t have the app open, it pauses my music playing in the Spotify app.",playback_issue,False,False,,2704318,2704323,2017-11,True,154,False,True,True,True,playback_issue,reviewed,playback_issue,False,True
g079,"hi , I've had my spotify account for about 2 months and I've never had this problem, basically it's not letting me skip a song when I haven't skipped a song in about 3 days","@SpotifyCares hi , I've had my spotify account for about 2 months and I've never had this problem,  basically it's not letting me skip a song when I haven't skipped a song in about 3 days",playback_issue,False,False,,2912470,2912470,2017-11,True,172,False,True,False,False,playback_issue,reviewed,playback_issue,False,True
g080,"you offered me a prepay $99 for a year of premium promo, but when I visit the link there is no where to pay... help? :)","@115888 you offered me a prepay $99 for a year of premium promo, but when I visit the link there is no where to pay... help? :)",subscription_plan,False,True,promo link broken,513060,513060,2017-12,False,119,False,True,True,False,subscription_plan,reviewed,subscription_plan,False,True
g081,Is there any login problem with spotify? My account suddenly logout and when I try to login always bavk to login page. Need help.,@117153 Is there any login problem with spotify? My account suddenly logout and when I try to login always bavk to login page. Need help.,account_access,False,False,,8238,8225,2017-10,True,129,False,True,False,False,account_access,reviewed,account_access,False,True
g082,why does the app use 12.95GB on my mob? I deleted most downloads which barely reduced this huge amount...,@115888 @SpotifyCares why does the app use 12.95GB on my mob? I deleted most downloads which barely reduced this huge amount...,technical_issue,False,False,,1061639,1061639,2017-10,True,105,False,True,True,False,technical_issue,reviewed,technical_issue,False,True
g083,Its so annoying that you cant block ppl from following you on . A request that loads of ppl have complained about for years and still no change.,Its so annoying that you cant block ppl from following you on @115888. A request that loads of ppl have complained about for years and still no change. @SpotifyCares,feature_and_feedback,False,False,,2972087,2972087,2017-11,True,144,False,True,False,False,feature_and_feedback,reviewed,feature_and_feedback,False,True
g084,Can you please include a feature so when you delete songs from playlists they automatically get deleted in your play queue? Thx!,@115888 Can you please include a feature so when you delete songs from playlists they automatically get deleted in your play queue? Thx!,feature_and_feedback,False,False,,300697,300697,2017-10,True,128,False,True,False,True,feature_and_feedback,reviewed,feature_and_feedback,False,True
g085,please help I can’t log in to my Spotify error 404,@115888 please help I can’t log in to my Spotify error 404,account_access,False,False,,566286,566286,2017-12,False,50,False,True,True,True,account_access,reviewed,account_access,False,True
g086,"If i buy spotify gift cards, does it work for the family plan?","@SpotifyCares If i buy spotify gift cards, does it work for the family plan?",device_compatibility,False,False,gift-card payment question,1758258,1758258,2017-11,True,62,False,True,False,True,device_compatibility,reviewed,subscription_plan,True,False
g087,"updated you and now my keyboard won't control Spotify. Not great. Advice, please thanks. Mac High Sierra","@SpotifyCares updated you and now my keyboard won't control Spotify. Not great. Advice, please thanks. Mac High Sierra",technical_issue,False,False,,2555557,2555557,2017-11,True,104,False,True,False,True,technical_issue,reviewed,technical_issue,False,True
g088,any ideas why my Spotify keeps stopping midway through a song? Never happened before. Using Samsung S6?,@115888 any ideas why my Spotify keeps stopping midway through a song? Never happened before. Using Samsung S6?,feature_and_feedback,False,False,,2747477,2747477,2017-11,True,103,False,True,False,False,feature_and_feedback,reviewed,playback_issue,True,False
g089,"hi min, please help, why my acc cant automatically update payment using mobile phone number?","@118266 hi min, please help, why my acc cant automatically update payment using mobile phone number?",payment_billing,True,True,,1903370,1903370,2017-10,True,92,False,True,False,True,payment_billing,reviewed,payment_billing,False,True
g090,as a new member to Spotify premium I can get in on this 3 months for $1 deal?,@SpotifyCares as a new member to Spotify premium I can get in on this 3 months for $1 deal?,subscription_plan,False,False,,2772040,2772040,2017-11,True,77,False,True,False,False,subscription_plan,reviewed,subscription_plan,False,True
